gene_short_name,PFAL1,PFAL2,PFAL3,PFDR1,PFDR2,PFDR3
Snord45b,0,109753,53208.4,0,0,0
Snord45c,12944.7,0,0,0,0,0
SNORD46,0,929.373,3224.27,391.797,0,4944.89
Snord47,0,0,0,0,0,0
Snord49a,217540,64746.2,362420,132755,0,0
Snord49b,67632.4,0,54162.8,40705.4,52107.8,693259
Snord4a,0,0,0,0,0,0
SNORD5,0,0,0,0,0,0
SNORD50,0,57765.5,0,20925,0,0
SNORD51,0,0,0,0,0,0
Snord52,0,0,0,0,0,0
Snord53,0,0,0,0,0,0
Snord55,212150,116352,333251,299486,225107,638165
SNORD56,0,0,0,0,0,0
Snord57,0,0,0,0,0,0
SNORD58,481063,255633,243725,463549,336143,4.26E+06
Snord58b,0,0,123110,92463.3,0,853074
SNORD59,0,0,0,37268.7,0,0
SNORD60,0,0,0,0,0,0
Snord61,0,0,64056.6,45754.2,0,0
SNORD62,15282.8,37526,81502.7,0,0,0
SNORD63,0,0,0,0,0,0
Snord64,0,0,0,0,0,0
Snord65,0,0,0,0,0,0
Snord66,290122,0,180927,190919,239752,498122
Snord67,0,0,0,0,0,0
Snord68,0,0,0,0,0,0
Snord69,0,0,61452.2,43169.6,0,0
Snord7,0,0,0,0,0,0
Snord70,374961,140696,397991,503351,148884,1.05E+06
Snord71,162725,56088.9,208496,83975,104229,0
Snord72,19979,0,204792,0,0,0
Snord73a,0,0,0,69976.7,0,0
SNORD74,0,0,0,0,0,0
SNORD75,0,0,0,0,0,0
SNORD77,0,0,0,0,0,0
SNORD78,0,0,0,0,0,0
SNORD79,0,0,0,0,0,0
Snord8,3271.35,2993.62,4224.05,3315.85,3968.29,1339.38
SNORD81,0,0,0,0,0,0
Snord82,358821,380531,2.10E+06,1.31E+06,897096,1.29E+06
SNORD83,156620,149471,295456,295830,33912.4,0
Snord83b,52265.5,37787,53893.3,65637.3,41036.4,0
Snord85,250154,242434,58825.7,170700,165085,678580
SNORD86,0,0,0,0,0,0
Snord87,1.30E+06,899467,2.03E+06,2.49E+06,1.52E+06,4.46E+06
SNORD88,0,0,0,0,0,0
Snord89,1739.22,253.182,2858.17,2464.24,1108.65,0
Snord90,0,0,125.697,198.693,0,0
SNORD91,0,0,0,0,0,0
Snord91a,0,0,0,0,0,121364
Snord92,66808.3,0,0,32601.9,0,0
SNORD93,0,0,0,0,0,0
SNORD94,103.45,106.077,215.373,110.736,34.351,182.682
SNORD95,0,0,0,0,0,0
Snord96a,0,0,0,0,0,0
Snord98,0,0,0,0,0,0
Snord99,0,0,0,0,0,0
snosnR60_Z15,0,0,0,0,0,0
snoU105B,859643,432977,1.32E+06,1.20E+06,1.12E+06,1.99E+06
snoU109,0,0,0,0,15.0784,0
snoU13,0,0,0,0,0,0
snoU2_19,0,0,0,0,0,0
snoU2-30,0,0,0,0,0,0
snoU54,0,0,0,0,0,0
snoU6-53,2769.92,11220.4,4990.48,2787.76,1667.91,8239.78
snoU6-77,303.64,349.513,1070.95,342.458,218.822,254.612
snoU83B,0,5687.02,0,0,0,0
snoU85,0,0,0,0,0,0
snoU89,9.80035,4.64707,13.4879,8.24838,11.4779,8.10903
snoU90,92.1572,82.2278,132.95,84.0929,83.4681,83.4999
snoU97,1975.7,1465.19,3901.43,1826.06,1250.77,1989.62
snoZ159,0,0,0,0,0,0
snoZ178,0,0,0,0,0,0
snoZ39,0,0,0,0,0,0
snoZ40,0,0,0,0,0,0
Snph,0.0253063,0,0,0,0.0126138,0
snR78,0,0,0,0,0,0
Snrk,44.9738,27.4945,26.744,37.9277,38.1208,24.6094
Snrnp200,11.7522,6.79316,7.139,13.1593,13.6308,7.33795
Snrnp25,1.0958,0.787358,0.861813,0.946833,0.979079,0
Snrnp27,10.7344,9.79992,10.1212,12.4657,8.88196,13.1413
Snrnp35,1.02893,1.24757,1.16301,1.80389,1.33894,0.849415
Snrnp40,3.01655,3.26794,3.39976,3.95728,2.79518,1.24076
Snrnp48,6.33402,4.77891,6.42558,4.17293,4.27258,2.95952
Snrnp70,8.98745,5.57537,8.20872,9.87608,6.2153,5.51123
Snrp1c-ps2,0,0,0,0,0,0
Snrpa,10.6803,12.1108,9.53995,19.7718,14.4762,15.1713
Snrpa1,9.66286,9.53079,7.15113,12.9863,11.769,7.07642
Snrpb,7.91152,12.5377,10.0272,11.1171,8.50632,9.26866
Snrpb2,11.6739,9.49705,10.1824,11.4687,9.08931,7.18454
Snrpc,17.9136,18.7347,13.1198,18.5587,15.6195,13.1856
Snrpd1,13.8084,14.782,15.6609,25.4384,17.7515,17.7537
Snrpd2,14.8028,19.6836,15.0285,17.3124,12.1458,12.1958
Snrpd3,14.196,6.89251,6.51041,11.6571,18.2119,23.6053
Snrpe,57.3181,47.9797,49.9654,56.3287,49.6987,58.6312
Snrpf,10.3548,9.63561,11.2127,17.8492,13.2785,21.4406
Snrpg,26.3345,16.0779,22.3002,31.928,15.6873,17.5663
Snrpn,4.79387,4.01364,2.18992,3.74377,5.80194,7.01691
Snta1,3.60474,3.15358,2.60457,5.19594,5.9169,5.64128
Sntb1,25.2995,22.4243,18.3219,23.2905,27.4359,25.8577
Sntb2,1.5453,1.65647,1.59697,1.37589,1.44755,1.7013
Sntg1,0.484011,0.558474,0.268433,0.334159,0.281249,0
Sntg2,3.32685,5.08224,3.1881,3.46351,3.91714,4.71809
Sntn,0,0,0,0,0,0
Snupn,1.80092,2.22174,2.04343,3.21679,2.98906,1.73752
Snurf,0,0,0,0,0,0
Snw1,9.89919,11.0259,8.83966,9.87746,9.71161,9.45575
Snx1,6.20241,7.01069,9.74431,6.59168,6.61589,6.65122
Snx10,24.0817,26.9543,16.2269,30.3693,15.8787,17.7014
Snx11,2.70344,2.43724,2.34834,2.46561,3.26504,1.45976
Snx12,7.17397,6.40201,5.71784,5.37914,5.79091,3.40261
Snx13,9.83326,8.21549,6.52476,7.67141,9.02141,6.35208
Snx14,9.83168,7.92306,6.92226,6.25644,8.66859,6.36432
Snx15,2.11841,2.94075,2.3043,2.31708,2.46228,1.09691
Snx16,1.57776,1.9191,2.42829,1.33597,1.38194,0.643213
Snx17,4.44445,5.64303,4.3538,4.87655,5.75688,5.30408
Snx18,5.41996,5.68285,6.85162,5.53934,6.46603,3.69114
Snx19,3.75654,3.82894,2.51727,4.02552,4.39792,3.02547
Snx2,26.5665,26.703,21.6633,22.2602,20.3266,17.3816
Snx20,0.295595,0.147423,0.284417,0.323551,0.276032,0.440465
Snx21,1.19887,1.10739,0.922106,0.877069,0.446315,0.882188
Snx22,10.2481,14.035,13.7787,14.4374,9.52137,4.14593
Snx24,6.32371,9.68176,8.34253,7.48913,6.60047,3.91301
Snx25,5.23013,3.98522,7.88406,3.94064,6.25114,9.03709
Snx27,6.68764,5.29074,5.50704,4.93451,6.48871,4.29295
Snx29,1.12432,0.60619,0.314105,0.853517,0.86335,1.12477
Snx3,23.3319,20.7012,20.0366,25.0329,23.2666,16.6785
Snx30,2.48622,1.59153,1.61435,1.87059,1.14165,0.876612
Snx31,0.030456,0,0,0,0.0211834,0
Snx32,1.09731,0.877235,0.77373,0.777629,0.555336,0
Snx33,2.97316,2.58489,2.7853,3.12286,4.54925,3.08007
Snx4,14.9792,17.6259,14.0939,14.9087,13.6419,12.3049
Snx5,19.4773,18.1344,21.7412,24.6813,20.9682,20.9778
Snx6,11.2362,12.0628,12.399,14.4427,11.3508,11.2479
Snx7,14.2908,14.9665,12.2816,16.1576,14.4117,18.1215
Snx8,2.18582,2.46757,2.4097,3.62,3.04918,1.76423
Snx9,15.2036,14.698,9.59104,11.8324,12.7139,12.1363
Soat1,1.72807,1.74991,2.31955,1.65461,1.52494,0.918651
Soat2,21.2421,20.193,13.3607,17.0104,16.7803,14.0696
Sobp,0.00915031,0.0236144,0.0561403,0.0101656,0.0234166,0
Socs1,0.086318,0.346337,0.282119,0,0.110217,0
