gene_short_name,Y(1),Y(2),Y(3),AL 15 (1),AL 15 (2),AL 15 (2),DR 15 (1),DR 15 (2),DR 15 (3),ALtoDR(1),ALtoDR(2),ALtoDR(3),DRtoAL(1),DRtoAL(2),DRtoAL(3)
Galnt1,11.5231,11.6442,11.6457,11.2806,14.0728,12.1727,11.6834,11.8924,8.37345,21.2992,16.9243,10.8222,19.3576,18.6592,19.2066
Myf5,0,0,0,0,0,0,0,0,0,0,0,0.0230024,0,0,0
Mkrn2,3.21866,2.39341,3.16667,2.91055,2.87408,3.57489,3.24954,3.14963,2.87947,2.84124,3.85537,2.74964,3.85716,3.75513,4.5829
Pparg,1.91784,1.22277,1.11495,4.00134,4.42892,4.37448,2.52686,2.46897,1.74049,6.35442,7.91558,3.51378,7.90246,7.63506,7.1429
Raf1,12.4321,11.4644,11.1357,14.6171,11.5397,12.4653,10.6462,12.4898,11.2483,22.423,22.7448,11.8599,21.9719,17.0496,18.8012
Sep-01,2.00541,1.11123,0.836316,1.43187,2.96617,1.87528,1.12649,1.72876,2.43619,0.374262,0.4934,0.0561714,0.475853,0.3213,0.843841
Pdgfb,0.105443,0.297592,0.264551,0.637359,0.578539,0.664079,0.5867,0.379005,0.681022,0.292357,0.123293,0.275779,0.16193,0.21146,0.216518
Acvrl1,0.715906,1.07877,1.08538,0.899904,0.72299,1.01931,0.615467,0.503191,0.577193,0.634837,1.22985,0.64008,2.67998,0.530406,0.817933
Grasp,0.195444,0.502123,0.570222,0.910823,0.431831,0.35501,0.827359,0.601788,0.838119,0.747966,0.565956,0.291261,0.339426,0.594143,0.420057
Acvr1b,1.27098,1.16243,1.25223,1.1666,1.20569,1.22226,1.37393,0.830071,0.610289,1.11857,1.17232,0.944634,1.52796,1.62025,1.7805
Tom1l2,6.6131,5.18677,6.02154,7.55475,5.85781,7.1612,5.41043,5.71683,4.60132,2.58522,2.61479,3.26639,2.15835,3.94981,3.59264
Gpa33,0,0,0,0,0,0,0.112301,0,0,0,0,0,0,0.0977987,0
Zfp385a,4.43925,2.98995,6.75252,5.0602,6.75196,6.31753,6.28736,6.7456,4.04753,1.76222,1.51701,1.57058,1.29668,2.21379,1.51157
Itga5,2.47219,2.26566,3.11681,2.38434,3.71596,2.93937,2.92548,2.55716,1.83607,0.76902,0.922051,0.950854,1.92601,1.5903,1.82167
Gabra2,0.020801,0.024338,0,0,3.09E-06,4.21E-06,0.037674,7.92E-05,0.0485292,3.95E-06,0.00662923,0.0500092,0,0.0649382,0.0029602
Wdr77,6.79987,5.41784,6.22902,4.64457,6.16723,5.6952,4.86032,6.13939,5.45958,2.85318,5.23465,5.28099,6.07407,4.70825,7.86996
Adora3,0,0.0249251,0,0,0,0.0431909,0,0,0.0745727,0.0518332,0,0,0,0,0
Atp5f1,288.41,285.023,311.849,265.116,322.695,256.11,276.53,314.446,318.638,265.426,266.775,121.335,245.643,217.199,264.899
Sox9,2.50847,1.90314,2.50491,1.59405,1.38326,1.50906,1.33578,1.45907,0.99036,0.506404,0.7805,0.407526,1.40732,0.826286,1.02237
Hnrnpd,15.0625,12.8697,15.4954,13.8922,14.3406,15.3327,19.3796,18.2485,17.4865,11.3805,11.3126,33.1088,14.4593,8.02566,7.21903
Dynlt1c,0.622229,0.408834,0.197998,0.276039,0.309142,0.299491,0.30811,0.351695,0.283214,0.394997,0.510266,0.941779,1.18505,0.572209,0.894956
C1d,49.5811,36.2503,37.1474,37.7731,58.4527,37.2211,36.6549,28.2083,21.2773,23.0998,19.7871,9.1564,17.9255,18.868,25.2787
Gm2a,34.1982,32.3802,28.0931,18.169,26.118,22.3233,28.394,31.1185,25.2864,23.3807,23.2262,8.12068,22.7602,22.7163,24.1702
Krit1,3.9652,4.5843,3.91104,2.8515,3.78212,3.41478,2.54839,3.54228,2.25247,4.70128,4.23029,2.18144,4.95615,4.70671,6.29469
Clcn4-2,15.1331,12.5344,12.9686,12.2369,16.0052,14.7096,14.562,17.239,11.6174,15.3515,11.909,6.05136,13.302,12.4327,13.0828
